fighter_id,fighter_name,field_name,ufcstats_fighter_id,ufcstats_url,trusted_ufc_uuid,identity_basis
92144750-ac6d-5e18-bd44-4e839332e7e8,Abubakar Vagaev,reach_cm,f7adc1fd115f8fdd,http://ufcstats.com/fighter-details/f7adc1fd115f8fdd,823cee51-2785-4cae-bcfa-09f02633d6d8,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
345b0807-0422-5231-9b78-9871d4b33c1c,Artur Minev,reach_cm,20d37922ba85e6fc,http://ufcstats.com/fighter-details/20d37922ba85e6fc,a1cdeb06-26bb-446d-9f1f-e635073fe7e5,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
3a2b6c18-5073-591a-b0e6-028e568fa36a,Borislav Nikolic,reach_cm,5f926979c980b87e,http://ufcstats.com/fighter-details/5f926979c980b87e,c22ff047-7cc1-43b8-8832-7b69e1b30078,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
1288319a-e165-5306-8ca1-4f6c1ce6b88e,Damian Rzepecki,reach_cm,99223fbb4a05326b,http://ufcstats.com/fighter-details/99223fbb4a05326b,a421e97e-2944-4964-9a15-a29e86759e85,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
51b21443-0dcd-5c24-955b-188e60784139,Magomed Tuchalov,reach_cm,bc5a51159ec2fdf2,http://ufcstats.com/fighter-details/bc5a51159ec2fdf2,e3a8e8ae-acf2-4df5-ad32-1b0d1a123a40,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
b9dbb4f4-7200-576d-b20a-53aa03d009ce,Marina Spasic,reach_cm,5847c1a960bb23af,http://ufcstats.com/fighter-details/5847c1a960bb23af,0962bf3b-2f0a-40b2-8e66-1524e042e417,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
9e5ea15c-fe7a-52e2-ac0b-00b484970609,Nina Milosevic,height_cm,eabece0edc2d62ca,http://ufcstats.com/fighter-details/eabece0edc2d62ca,633757ee-7d47-44f3-b555-73f2d9d9eb90,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
9e5ea15c-fe7a-52e2-ac0b-00b484970609,Nina Milosevic,reach_cm,eabece0edc2d62ca,http://ufcstats.com/fighter-details/eabece0edc2d62ca,633757ee-7d47-44f3-b555-73f2d9d9eb90,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
41bee9dd-88d7-56f0-9c6f-1edc1cad2a55,Noah Gugnon,reach_cm,6266abf6e4245c72,http://ufcstats.com/fighter-details/6266abf6e4245c72,e20b911d-21e0-47fd-9164-1bf60f7ab7ab,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
2c451f3d-f815-5175-83b7-280953f151e3,Rodrigo Vera,reach_cm,2b266e623e20737a,http://ufcstats.com/fighter-details/2b266e623e20737a,38b59aac-e173-4b38-9e8b-32464edda329,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
dc77e194-a6dd-5fab-89e8-b5bc85883d19,YiSak Lee,reach_cm,e6666480a830f764,http://ufcstats.com/fighter-details/e6666480a830f764,5633f84d-d815-4127-9e44-a35f49e6fc9a,"canonical fighter ID + trusted UFC athlete UUID + current UFCStats directory identity"
